year,week,speed_main,flow_main,flow_ngh_400,flow_ngh_432,speed_ngh_400,speed_ngh_432,hour6,hour7,hour8,hour9
7,10,113.04,2064,2069,2582,113.31,109.36,1,0,0,0
7,11,113.98,1949.49,1997.29,2528.14,114.82,109.92,1,0,0,0
7,12,115.45,2022,2072,2597,115.72,110.59,1,0,0,0
7,13,114.68,1951,1985,2504,114.63,109.95,1,0,0,0
7,14,114.82,2003,2005,2548,114.39,109.13,1,0,0,0
7,15,114.78,2040,2067,2613,115.2,110.41,1,0,0,0
7,16,113.94,2301,2307,2827,113.9,109.54,1,0,0,0
7,17,114.16,2009,2070,2493,114.62,109.63,1,0,0,0
7,18,115.08,1979,2022,2499,115.64,110.51,1,0,0,0
7,19,115.81,2068,NA,2647,NA,110.91,1,0,0,0
7,20,115.36,1956,2076,2562,115.94,111.75,1,0,0,0
7,21,115.88,2107,2111,2627,115.35,111.66,1,0,0,0
7,22,115.2,2035,2040,2547,115.23,111.01,1,0,0,0
7,23,115.44,2240,2198,2780,115.29,110.95,1,0,0,0
7,24,115.87,1980,2062,2619,116.39,112.07,1,0,0,0
7,25,115.23,2053,2098,2617,115.59,111.6,1,0,0,0
7,26,114.85,2095,2123,2633,115.23,110.39,1,0,0,0
7,27,115.24,2057.29,2083.73,2629.83,115.46,111.89,1,0,0,0
7,28,114.91,2006,2053,2476,115.31,111.59,1,0,0,0
7,29,113.54,1853,1912,2248,113.73,110.14,1,0,0,0
7,30,114.29,1592,1615,1844,114.24,110.61,1,0,0,0
7,31,115.69,1443,1477,1685,115.13,112.02,1,0,0,0
7,32,114.54,1321,1341,1626,114.85,111.68,1,0,0,0
7,33,114.76,1540,1553,1957,114.76,112.13,1,0,0,0
7,34,113.66,1770,1771,2216,113.73,110.03,1,0,0,0
7,35,114.2,1808,1817,2351,113.9,110.09,1,0,0,0
7,37,113.54,1912,1923,2444,113.39,108.5,1,0,0,0
7,38,107.98,1932,1946,2391,110.86,89.98,1,0,0,0
7,39,108.9,2001,2017,2529,111.66,107.66,1,0,0,0
7,40,109.04,1964,1969,2493,111.14,107.67,1,0,0,0
7,41,109.8,2041,2053,2567,112,107.96,1,0,0,0
7,42,110.17,2044,2086,2502,112.22,109.36,1,0,0,0
7,43,106.87,1938,1955,2459,110.69,107.02,1,0,0,0
7,44,112.33,2122,2174,2664,113.3,108.55,1,0,0,0
7,45,113.38,2041,2046,2590,113.38,108.87,1,0,0,0
7,46,112.89,2054,2090,2653,113.5,108.71,1,0,0,0
7,47,111.64,2081,2110,2670,112.39,108.23,1,0,0,0
7,48,112.09,2151,2195,2772,112.48,107.89,1,0,0,0
7,49,111.85,2114,2151,2776,112.88,108.63,1,0,0,0
7,50,106.19,1799,1822,2300,107.47,99.06,1,0,0,0
7,51,112.53,2039,2048,2589,113.19,110.09,1,0,0,0
7,52,116.53,217.89,214.74,242,115.18,111.11,1,0,0,0
8,1,112.85,1230,1244,1556,112.68,109.25,1,0,0,0
8,2,111.54,1993,2016,2550,112.61,108.73,1,0,0,0
8,3,113.25,2057,2111,2669,113.26,107.9,1,0,0,0
8,4,113.79,2011,2020,2526,114,110.03,1,0,0,0
8,5,113.62,1960,2002,2525,114.58,109.82,1,0,0,0
8,6,111.45,1969,1994,2528,112.23,107.82,1,0,0,0
8,7,111.41,1952,2016,2493,111.97,107.66,1,0,0,0
8,8,111.09,1970,1997,2527,112.45,108.12,1,0,0,0
8,9,112.5,1863,1877,2352,113,108.75,1,0,0,0
8,10,112.95,2038,2044,2588,113.53,108.65,1,0,0,0
8,11,112.91,2066,2086,2599,113.55,108.73,1,0,0,0
8,12,112.19,2142,2195,2711,113.24,109.56,1,0,0,0
8,13,112.65,2118,2118,2656,113.19,108,1,0,0,0
