year,week,speed_main,flow_main,flow_ngh_400,flow_ngh_432,speed_ngh_400,speed_ngh_432,hour6,hour7,hour8,hour9
0,22,110.31,1651.15,1839.23,2071.15,109.34,105.76,1,0,0,0
0,23,111.87,1678.78,1801.22,2113.47,111.2,107.27,1,0,0,0
0,24,110.43,1641.82,1812,2133.82,110.16,106.07,1,0,0,0
0,25,113.27,1612,1744,2140,111.65,106.16,1,0,0,0
0,26,112.67,1633.68,1790.53,2052.63,111.02,105.71,1,0,0,0
0,27,111.46,1674.83,1789.66,2054.48,111.05,106.11,1,0,0,0
0,28,113.42,1527.78,1702.22,1898.89,112.32,106.09,1,0,0,0
0,29,113.46,1249.09,1338.55,1520.73,112.47,107.54,1,0,0,0
0,30,111.78,1029.82,1094.18,1325.45,112.37,107.15,1,0,0,0
0,31,111.97,905,972.5,1143.75,112.28,107.38,1,0,0,0
0,34,112.23,1536.84,1697.89,2036.84,112.06,105.53,1,0,0,0
0,35,111.71,1494,1655,1954,109.42,104.9,1,0,0,0
0,36,107.6,1430,1586,1941,106.88,101.54,1,0,0,0
0,38,111.14,1493,1637,1983,109.65,102.77,1,0,0,0
0,39,109.49,1518,1680,1962,109.13,102.93,1,0,0,0
0,40,112.4,1534,1718,2070,111.19,104.66,1,0,0,0
0,41,110.95,1627,1759,2082,110.34,104.29,1,0,0,0
0,42,107.71,1560,1759,2011,105.75,99.71,1,0,0,0
0,43,110.85,1557,1697,2002,109.95,104.04,1,0,0,0
0,44,112.6,1599.27,1777.09,2103.27,111.64,104.9,1,0,0,0
0,45,109.38,1536,1726,2084,109.88,103.34,1,0,0,0
0,47,111.67,1585,1728,2074,110.64,105.24,1,0,0,0
0,48,104.29,1575.25,1717.63,2106.1,104.16,98.56,1,0,0,0
0,49,105.93,1465,1592,1931,107.16,99.01,1,0,0,0
0,50,110.12,1449,1603,1987,109.66,103.5,1,0,0,0
0,51,99.4,1098,1147,1459,99.41,93.9,1,0,0,0
0,52,107.83,649,717,864,107.75,104.12,1,0,0,0
1,1,110.83,1314,1442,1805,109.06,102.73,1,0,0,0
1,2,109.16,1388,1521,1892,108.57,102.06,1,0,0,0
1,3,109.86,1504,1665,2005,109.49,102.95,1,0,0,0
1,4,111.05,1552,1676,2040,110.42,104.12,1,0,0,0
1,5,110.97,1527,1669,2058,109.78,104.59,1,0,0,0
1,6,112,1534,1669,2048,111.47,104.74,1,0,0,0
1,7,111.22,1586,1719,2068,110.35,104.74,1,0,0,0
1,8,110.6,1436,1601,1901,109.68,104.01,1,0,0,0
1,9,109.9,1674,1808,2225,110.03,104.28,1,0,0,0
1,10,109.88,1567,1702,2067,109.75,104.25,1,0,0,0
1,11,111.14,1553,1702,2086,111.07,104.92,1,0,0,0
1,12,112.51,1628,1783,2193,110.87,105.52,1,0,0,0
1,13,110.73,1532,1666,2045,109.92,104.34,1,0,0,0
1,14,110.46,1672,1790,2190,109.6,102.73,1,0,0,0
1,15,110.19,1644,1786,2117,109.81,104.52,1,0,0,0
1,16,111.68,1579,1747,2070,110.36,105.01,1,0,0,0
1,17,111.96,1791,1982,2283,110.62,105.47,1,0,0,0
1,18,110.81,1532,1692,1967,110.42,105.57,1,0,0,0
1,19,111.63,1641,1815,2075,110.54,105.76,1,0,0,0
1,20,111.99,1669,1859,2144,110.12,105.2,1,0,0,0
1,21,112.44,1682,1876,2208,111.52,105.81,1,0,0,0
1,22,112.9,1678,1828,2149,112.23,105.28,1,0,0,0
1,23,113.18,1639,1813,2101,111.4,106.42,1,0,0,0
1,24,112.29,1898,2045,2392,110.62,106.52,1,0,0,0
1,25,112.93,1588,1725,2040,112.01,106.12,1,0,0,0
1,26,112.29,1579,1714,2024,110.78,106.5,1,0,0,0
1,27,111.68,1590,1737,1957,110.66,106.44,1,0,0,0
1,28,112.67,1583,1740,1938,111.72,109.47,1,0,0,0
1,29,112.44,1487.78,1564.44,1688.89,111.74,106.95,1,0,0,0
1,30,112.81,1153.68,1245.26,1408.42,112.2,107.44,1,0,0,0
1,32,113.34,1096.15,1202.31,1444.62,112.09,106.71,1,0,0,0
1,33,113.16,1239.31,1387.24,1741.03,111.89,107.28,1,0,0,0
1,34,111.72,1378,1553,1872,110.73,105.52,1,0,0,0
1,35,111.62,1457.29,1616.95,1907.8,110.91,105.65,1,0,0,0
1,36,110.21,1465,1597,1928,109.72,104.59,1,0,0,0
1,40,111.44,1661,1820,2163,110.88,103.67,1,0,0,0
1,41,112.01,1666,1839,2207,109.92,104.48,1,0,0,0
1,42,110.5,1621,1770,2034,109.12,104.14,1,0,0,0
1,43,110.08,1604,1757,2070,108.9,104.84,1,0,0,0
1,44,110.82,1600,1759,2076,109.35,105.45,1,0,0,0
1,45,110.92,1659,1785,2153,109.67,105.07,1,0,0,0
1,46,110.57,1649,1818,2072,110.21,104.58,1,0,0,0
1,47,106.64,1666,1804,2100,106.56,101.02,1,0,0,0
1,48,109.36,1776,1893,2193,107.95,102.45,1,0,0,0
1,49,109.94,1675,1827,2116,108.16,103.63,1,0,0,0
1,50,106.84,1641,1785,2077,103.81,99.28,1,0,0,0
1,51,109.13,1565,1723,1967,107.61,103.9,1,0,0,0
1,52,113.5,644,696,817,113.11,108.44,1,0,0,0
2,1,110.53,1103,1203,1385,108.76,104.19,1,0,0,0
2,2,110.34,1527,1670,1967,109.86,105.5,1,0,0,0
2,3,109.62,1574,1686,1950,108.48,104.01,1,0,0,0
2,4,110.35,1522,1655,1947,109.78,105.44,1,0,0,0
2,5,108.7,1575,1711,1994,108.34,102.55,1,0,0,0
2,6,109.41,1348,1473,1753,108.88,102.26,1,0,0,0
2,7,109.98,1488,1604,1955,108.81,105.16,1,0,0,0
2,8,111.88,1507,1634,1882,110.79,104.32,1,0,0,0
2,9,110.39,1527,1655,1994,109.41,105.05,1,0,0,0
2,10,109.95,1672,1813,2097,109.57,104.99,1,0,0,0
2,11,109.77,1593.33,1723.33,2000,108.72,104.06,1,0,0,0
2,12,110.91,1684.44,1797.78,2103.33,110.19,104.81,1,0,0,0
2,13,110.03,1637,1751,1983,108.81,104.97,1,0,0,0
2,14,110.25,1695.6,1875.6,2191.2,109.89,105.28,1,0,0,0
2,15,109.1,1874,1992,2291,107.25,101.69,1,0,0,0
2,16,111.09,1674,1846,2119,110.06,105.59,1,0,0,0
2,17,109.2,1749,1888,2148,108.78,104.07,1,0,0,0
2,18,109.45,1536,1676,1907,109.24,103.99,1,0,0,0
2,19,109.94,1666,1826,2150,109.64,104.11,1,0,0,0
2,20,112.3,1653,1796,2094,110.28,104.94,1,0,0,0
2,21,110.11,1697,1853,2184,108.23,105.25,1,0,0,0
2,22,111.93,1808,1966,2322,110.63,105.4,1,0,0,0
2,23,112.75,1665,1875.48,2201.82,111.35,106.25,1,0,0,0
2,24,111.83,1630,1784,2011,111.05,107.51,1,0,0,0
2,25,112.23,1581,1726,1961,110.99,105.88,1,0,0,0
2,26,113.2,1656,1793,2070,111.45,106.41,1,0,0,0
2,27,112.88,1543,1664,1970,111.68,107.07,1,0,0,0
2,28,111.78,1735.86,1862.07,1934.48,110.54,106.41,1,0,0,0
2,29,112.31,1290,1453.55,1580.62,110.62,105.99,1,0,0,0
2,30,113.77,1232.2,1347,1447.5,112.7,109.31,1,0,0,0
2,31,113.19,1055,1075.38,1297.5,113.15,106.99,1,0,0,0
2,32,112.3,1010,1129,1319,111.56,107.47,1,0,0,0
2,33,113.17,1153,1230,1502,112.01,106.26,1,0,0,0
2,34,111.18,1320,1463,1836,109.47,105.17,1,0,0,0
2,35,110.77,1456,1593,1870,109.28,104.09,1,0,0,0
