"year","week","speed_main","flow_main","speed_ngh_432","hour7","hour8","hour9"
7,9,112.52,1923,107.82,0,0,0
7,10,113.04,2064,109.36,0,0,0
7,11,113.98,1949.49,109.92,0,0,0
7,12,115.45,2022,110.59,0,0,0
7,13,114.68,1951,109.95,0,0,0
7,14,114.82,2003,109.13,0,0,0
7,15,114.78,2040,110.41,0,0,0
7,16,113.94,2301,109.54,0,0,0
7,17,114.16,2009,109.63,0,0,0
7,18,115.08,1979,110.51,0,0,0
7,20,115.36,1956,111.75,0,0,0
7,21,115.88,2107,111.66,0,0,0
7,22,115.2,2035,111.01,0,0,0
7,23,115.44,2240,110.95,0,0,0
7,24,115.87,1980,112.07,0,0,0
7,25,115.23,2053,111.6,0,0,0
7,26,114.85,2095,110.39,0,0,0
7,27,115.24,2057.29,111.89,0,0,0
7,28,114.91,2006,111.59,0,0,0
7,29,113.54,1853,110.14,0,0,0
7,30,114.29,1592,110.61,0,0,0
7,31,115.69,1443,112.02,0,0,0
7,32,114.54,1321,111.68,0,0,0
7,33,114.76,1540,112.13,0,0,0
7,34,113.66,1770,110.03,0,0,0
7,35,114.2,1808,110.09,0,0,0
7,37,113.54,1912,108.5,0,0,0
7,38,107.98,1932,89.98,0,0,0
7,39,108.9,2001,107.66,0,0,0
7,40,109.04,1964,107.67,0,0,0
7,41,109.8,2041,107.96,0,0,0
7,42,110.17,2044,109.36,0,0,0
7,43,106.87,1938,107.02,0,0,0
7,44,112.33,2122,108.55,0,0,0
7,45,113.38,2041,108.87,0,0,0
7,46,112.89,2054,108.71,0,0,0
7,47,111.64,2081,108.23,0,0,0
7,48,112.09,2151,107.89,0,0,0
7,49,111.85,2114,108.63,0,0,0
7,50,106.19,1799,99.06,0,0,0
7,51,112.53,2039,110.09,0,0,0
7,52,116.53,217.89,111.11,0,0,0
8,1,112.85,1230,109.25,0,0,0
8,2,111.54,1993,108.73,0,0,0
8,3,113.25,2057,107.9,0,0,0
8,4,113.79,2011,110.03,0,0,0
8,5,113.62,1960,109.82,0,0,0
8,6,111.45,1969,107.82,0,0,0
8,7,111.41,1952,107.66,0,0,0
8,8,111.09,1970,108.12,0,0,0
8,9,112.5,1863,108.75,0,0,0
8,10,112.95,2038,108.65,0,0,0
8,11,112.91,2066,108.73,0,0,0
8,12,112.19,2142,109.56,0,0,0
8,13,112.65,2118,108,0,0,0
8,14,113.48,2415,108.54,0,0,0
8,15,114.15,2206,109.5,0,0,0
8,16,113.91,2168,110.69,0,0,0
8,17,114.19,2134,110.25,0,0,0
8,18,113,1949,107.64,0,0,0
8,19,114.82,2142,110.54,0,0,0
8,20,112.83,2206,110.41,0,0,0
8,21,113.06,2415.38,110.98,0,0,0
8,22,114.34,2185,111.7,0,0,0
8,23,113.86,2269,110.34,0,0,0
8,24,113.78,2296,110.79,0,0,0
8,25,115.52,2130,110.82,0,0,0
8,26,114.24,2163,111.57,0,0,0
8,27,114.04,2142,111.29,0,0,0
8,28,113.41,2161,111.91,0,0,0
8,29,114.43,2117,111.66,0,0,0
8,30,114.56,1780,111.47,0,0,0
8,31,115.86,1297,112.85,0,0,0
8,32,114.52,1483,111.95,0,0,0
8,33,115.72,1544,112.32,0,0,0
8,34,114.51,1735,111.39,0,0,0
8,35,115.39,1858,110.57,0,0,0
8,36,114.39,2086,110.22,0,0,0
8,37,114.37,2045,108.68,0,0,0
8,38,114.31,2080,109.7,0,0,0
8,39,114.48,2081,110.15,0,0,0
8,40,113.5,2076,108.21,0,0,0
8,41,114.72,2166,109.45,0,0,0
8,42,114.98,2151,110.11,0,0,0
8,43,114.95,2034,110.7,0,0,0
8,44,111.76,2336,106.8,0,0,0
8,45,113.97,2166,109.04,0,0,0
8,46,114.72,2208,104.45,0,0,0
8,47,113.64,2260,108.15,0,0,0
8,48,114.53,2181,109.77,0,0,0
8,49,114.12,2176,109.45,0,0,0
8,50,114.97,2164,110.03,0,0,0
8,51,114.53,2074,109.71,0,0,0
8,52,119.88,182.26,114.94,0,0,0
9,1,123.37,307.12,113.29,0,0,0
9,2,110.78,1782,107.94,0,0,0
9,3,116.4,2095,108.9,0,0,0
9,4,109.48,1929,103.04,0,0,0
