"speed_main","flow_main","week","speed_ngh_432","year2011","year2012","year2013","year2014","year2015","year2016","year2017","year2018","year2019","hour7","hour8","hour9"
110.43,1641.82,24,106.07,0,0,0,0,0,0,0,0,0,0,0,0
113.42,1527.78,28,106.09,0,0,0,0,0,0,0,0,0,0,0,0
111.14,1493,38,102.77,0,0,0,0,0,0,0,0,0,0,0,0
109.49,1518,39,102.93,0,0,0,0,0,0,0,0,0,0,0,0
109.38,1536,45,103.34,0,0,0,0,0,0,0,0,0,0,0,0
111.67,1585,47,105.24,0,0,0,0,0,0,0,0,0,0,0,0
104.29,1575.25,48,98.56,0,0,0,0,0,0,0,0,0,0,0,0
107.83,649,52,104.12,0,0,0,0,0,0,0,0,0,0,0,0
109.86,1504,3,102.95,1,0,0,0,0,0,0,0,0,0,0,0
111.68,1579,16,105.01,1,0,0,0,0,0,0,0,0,0,0,0
111.99,1669,20,105.2,1,0,0,0,0,0,0,0,0,0,0,0
113.18,1639,23,106.42,1,0,0,0,0,0,0,0,0,0,0,0
112.29,1579,26,106.5,1,0,0,0,0,0,0,0,0,0,0,0
112.81,1153.68,30,107.44,1,0,0,0,0,0,0,0,0,0,0,0
113.34,1096.15,32,106.71,1,0,0,0,0,0,0,0,0,0,0,0
113.16,1239.31,33,107.28,1,0,0,0,0,0,0,0,0,0,0,0
110.21,1465,36,104.59,1,0,0,0,0,0,0,0,0,0,0,0
110.5,1621,42,104.14,1,0,0,0,0,0,0,0,0,0,0,0
110.08,1604,43,104.84,1,0,0,0,0,0,0,0,0,0,0,0
110.92,1659,45,105.07,1,0,0,0,0,0,0,0,0,0,0,0
106.64,1666,47,101.02,1,0,0,0,0,0,0,0,0,0,0,0
109.98,1488,7,105.16,0,1,0,0,0,0,0,0,0,0,0,0
109.95,1672,10,104.99,0,1,0,0,0,0,0,0,0,0,0,0
110.91,1684.44,12,104.81,0,1,0,0,0,0,0,0,0,0,0,0
111.93,1808,22,105.4,0,1,0,0,0,0,0,0,0,0,0,0
111.83,1630,24,107.51,0,1,0,0,0,0,0,0,0,0,0,0
113.2,1656,26,106.41,0,1,0,0,0,0,0,0,0,0,0,0
112.3,1010,32,107.47,0,1,0,0,0,0,0,0,0,0,0,0
111.18,1320,34,105.17,0,1,0,0,0,0,0,0,0,0,0,0
110.77,1456,35,104.09,0,1,0,0,0,0,0,0,0,0,0,0
112.21,1513,36,105.8,0,1,0,0,0,0,0,0,0,0,0,0
111.53,1448,38,104.9,0,1,0,0,0,0,0,0,0,0,0,0
112.08,1497,41,104.9,0,1,0,0,0,0,0,0,0,0,0,0
110.42,1603,47,104.42,0,1,0,0,0,0,0,0,0,0,0,0
111.66,1606,48,105.59,0,1,0,0,0,0,0,0,0,0,0,0
108.03,1706,50,104.17,0,1,0,0,0,0,0,0,0,0,0,0
116.31,218.57,1,109.92,0,0,1,0,0,0,0,0,0,0,0,0
111.37,1522.35,2,105.1,0,0,1,0,0,0,0,0,0,0,0,0
108.46,1414.74,4,103.51,0,0,1,0,0,0,0,0,0,0,0,0
109.13,1528.42,6,102.19,0,0,1,0,0,0,0,0,0,0,0,0
109.97,1456,8,105.25,0,0,1,0,0,0,0,0,0,0,0,0
110.32,1534.14,9,105.31,0,0,1,0,0,0,0,0,0,0,0,0
110.35,1520.69,13,104.84,0,0,1,0,0,0,0,0,0,0,0,0
112.62,1453,19,107.37,0,0,1,0,0,0,0,0,0,0,0,0
112.14,1523,20,105.11,0,0,1,0,0,0,0,0,0,0,0,0
110.94,1581.05,22,105.55,0,0,1,0,0,0,0,0,0,0,0,0
111.49,1541.79,23,106.71,0,0,1,0,0,0,0,0,0,0,0,0
112.06,1124.21,30,107.82,0,0,1,0,0,0,0,0,0,0,0,0
109.51,1515.25,42,104.6,0,0,1,0,0,0,0,0,0,0,0,0
110.93,1580,46,104.08,0,0,1,0,0,0,0,0,0,0,0,0
