"speed_main","flow_main","week","speed_ngh_432","year2011","year2012","year2013","year2014","year2015","year2016","year2017","year2018","year2019","hour7","hour8","hour9"
113.96,2095,9,111.92,0,0,0,0,0,0,0,0,1,0,0,0
108.32,3005,41,88.8,0,0,0,0,0,0,0,0,0,1,0,0
106.68,693.1,52,102.29,0,0,1,0,0,0,0,0,0,0,0,0
103.22,3239,5,94.43,0,1,0,0,0,0,0,0,0,1,0,0
110.34,1755.79,17,104.59,0,0,0,1,0,0,0,0,0,0,0,0
49.11,3252,16,82.97,1,0,0,0,0,0,0,0,0,0,1,0
114.67,2923,1,109.08,0,0,0,0,0,0,0,1,0,0,1,0
105.13,3021,26,96.06,1,0,0,0,0,0,0,0,0,0,0,1
86.44,3332,5,89.7,0,0,0,0,1,0,0,0,0,1,0,0
108.69,2973.82,29,101.66,0,0,1,0,0,0,0,0,0,1,0,0
114.09,3063,29,107.62,0,0,0,0,0,1,0,0,0,0,0,1
89.91,3423,41,87.39,0,1,0,0,0,0,0,0,0,0,1,0
51.14,3079,6,86.48,0,0,0,0,1,0,0,0,0,0,1,0
112.78,2984.48,32,104.33,1,0,0,0,0,0,0,0,0,0,1,0
112.89,2054,46,108.71,0,0,0,0,0,0,1,0,0,0,0,0
62.39,3465,47,86.99,0,1,0,0,0,0,0,0,0,0,1,0
114.16,3312,24,107.66,0,0,0,0,0,0,1,0,0,0,0,1
109.34,2937,7,98.37,1,0,0,0,0,0,0,0,0,0,0,1
99.4,1098,51,93.9,0,0,0,0,0,0,0,0,0,0,0,0
101.58,3192,50,92.45,1,0,0,0,0,0,0,0,0,1,0,0
108.5,2675.12,30,100.61,0,1,0,0,0,0,0,0,0,0,0,1
108.03,1606,50,103.66,0,0,0,1,0,0,0,0,0,0,0,0
105.57,3275,10,86.83,1,0,0,0,0,0,0,0,0,0,1,0
112.99,3360,16,108.25,0,0,0,0,0,1,0,0,0,0,0,1
77.15,3088.47,20,67.09,0,0,1,0,0,0,0,0,0,1,0,0
109.86,2870,34,102.34,0,1,0,0,0,0,0,0,0,1,0,0
114.82,2142,19,110.54,0,0,0,0,0,0,0,1,0,0,0,0
114.82,3453,18,109.79,0,0,0,0,0,1,0,0,0,0,1,0
106.06,3400,23,99.66,0,1,0,0,0,0,0,0,0,1,0,0
103.1,3417,17,94.84,1,0,0,0,0,0,0,0,0,1,0,0
112.24,2823.6,31,102.35,0,0,0,0,0,0,0,0,0,0,1,0
54.16,3273,15,81.84,1,0,0,0,0,0,0,0,0,0,1,0
105.95,3392.07,25,101.4,0,0,1,0,0,0,0,0,0,0,1,0
82.39,3291,1,73.81,1,0,0,0,0,0,0,0,0,0,1,0
113.85,1952,5,109.73,0,0,0,0,0,0,1,0,0,0,0,0
111.13,1573.45,39,106.37,0,0,1,0,0,0,0,0,0,0,0,0
109.89,1559,4,106.8,0,0,0,0,1,0,0,0,0,0,0,0
105.88,3408.81,8,94.65,0,0,1,0,0,0,0,0,0,1,0,0
109.94,1675,49,103.63,1,0,0,0,0,0,0,0,0,0,0,0
112.62,2582,1,107.43,0,0,0,0,0,1,0,0,0,0,0,1
109.96,1716.61,14,105.49,0,0,1,0,0,0,0,0,0,0,0,0
111.26,1537.63,26,107.38,0,0,1,0,0,0,0,0,0,0,0,0
116.04,1934,42,110.05,0,0,0,0,0,1,0,0,0,0,0,0
115.81,1975,25,113.15,0,0,0,0,0,1,0,0,0,0,0,0
105.68,3300,16,97.7,0,0,1,0,0,0,0,0,0,0,0,1
110.46,1672,14,102.73,1,0,0,0,0,0,0,0,0,0,0,0
115.28,2043,26,108.21,0,0,0,0,0,0,0,0,1,0,0,0
109.1,1874,15,101.69,0,1,0,0,0,0,0,0,0,0,0,0
115.45,2022,12,110.59,0,0,0,0,0,0,1,0,0,0,0,0
91.23,3283,7,90.32,0,1,0,0,0,0,0,0,0,1,0,0
114.78,2702,32,109.08,0,0,0,0,0,1,0,0,0,0,0,1
114.54,2278.78,31,106.14,0,0,0,0,0,0,0,0,0,1,0,0
107.24,3331.03,25,100.01,0,0,1,0,0,0,0,0,0,1,0,0
51.6,3143.79,41,85.16,0,0,1,0,0,0,0,0,0,0,1,0
116.09,2427.27,34,111.63,0,0,0,0,0,1,0,0,0,0,1,0
116.19,1839,52,111.17,0,0,0,0,0,1,0,0,0,1,0,0
112.83,2206,20,110.41,0,0,0,0,0,0,0,1,0,0,0,0
111.22,1586,7,104.74,1,0,0,0,0,0,0,0,0,0,0,0
101.67,3197,47,85.96,1,0,0,0,0,0,0,0,0,1,0,0
107.6,1430,36,101.54,0,0,0,0,0,0,0,0,0,0,0,0
110.57,1649,46,104.58,1,0,0,0,0,0,0,0,0,0,0,0
116.4,2095,3,108.9,0,0,0,0,0,0,0,0,1,0,0,0
52.01,3404,4,85.56,0,0,0,0,1,0,0,0,0,0,1,0
